0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,11,11,13,13,13,13,13,13,13,13,2,10,10,10,7,7,7,7,7,7,7,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,11,10,12,12,3,3,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,10,10,10,1,1,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,6,6,6,6,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,12,12,3,3,3,3,3,12,0,0,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,11,14,11,11,10,10,12,12,12,12,12,0,0,0,0,0,0,0,0,0,13,13,13,10,10,12,12,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,12,12,3,3,3,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,12,12,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,2,11,10,10,10,10,10,6,6,6,6,6,6,10,10,10,15,5,5
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,1,8,8,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,12,12,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,12,12,12,12,12,12,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,6,6,6,6,6,6,6,6,6,12,3,3,3,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,10,10,10,10,10,10
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,8,8,6,6,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3,3,3,3,12,3,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,10,10,12,12,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,6,6,6,6,6,6,6,6,6,12,3,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,10,10,10,10,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,12,15,14,14,14,14,14,14,14,14,12,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,12,12,12,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,15,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,6,6,6,6,6,6,6,6,6,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,5,13,13,13,13,13,12,15,14,14,14,14,14,14,14,14,14,14,14,14,11,10,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,12,12,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,11,11,6,6,12,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,14,14,14,11,11,10,10,10,12,3,3,3,3,3,3,3,9,9,9,9,9,5,6,6,6,10,10,10,10,10,7
9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,11,11,11,11,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,6,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,10,10,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,10,10,10,10,6,6,6,6,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4
11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,14,14,14,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,11,11,11,6,6,11,11,10,10,10,10,12,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,14,14,14,11,10,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,7,7,7,7,7,6,6,6,6,6,10,10,10,10,10,15
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,12,3,3,11,11,14,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
10,10,10,12,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,10,12,12,12,12,12,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,7,7,7,7,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,3,3,3,11,6,6,15,5,5,5,5,5,5,5,6,6,6,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
15,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,4,4,4,4,4,4,4,4,4,4
10,10,10,7,7,7,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,6,6,6,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
15,12,12,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,4,4,4,4,4,4,4,4,4,4
10,10,6,6,6,6,6,6,6,6,6,15,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,6,1,1,10,10,10,6,6,6,6,6,6,6,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,4,4,4,4,4,4,4,4,4,4
9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,1,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,3,11,11,14,14,11,10,10,12,12,3,3,3,3,3,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,6,6,6,6,12,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,11,11,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,14,14,14,14,11,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,10,10,10,10,10,10,10,12,3,3,3,7,7,7,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,11,11,14,14,14,14,11,11,10,10,12,1,10,10,10,10,12,12,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,8,8,6,6,6,6,10,10,10,10,7
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,14,14,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,12,12,12,12,3,3,3,3,3,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,6,6,6,6,6,6,6,6,6,6,6,6,12,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,10,10,6,6,6,6,6,6,6,10,10,10,10,10,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,14,14,14,14,14,11,11,11,11,11,10,10,10,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,7,7,7,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,11,11,11,11,10,10,12,3,3,3,3,3,3,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,14,11,11,6,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,11,11,11,6,6,6,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,11,11,11,11,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,10,10,10,10,12,12,1,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4
11,14,14,11,11,6,6,6,6,6,6,6,6,6,15,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,10,10,10,7,7,7,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,9,14,14,11,14,14,14,14,14,14,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,11,14,14,14,11,11,10,10,10,12,12,12,12,3,3,3,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
15,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,10,10,10,10,10,10,10,10,10,12,3,3,3,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,3,11,11,10,12,12,12,12,0,0,0,0,0,0,13,13,13,13,13,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,9,9,5,6,6,6,10,10,10,10,10,15
9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,12,12,12,12,12,12,12,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,11,11,10,12,12,3,3,3,10,7,7,7,7,4,4,4,4,4,4,4,4,4,4
10,10,10,12,12,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,11,11,11,11,11,11,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,5,4,4,4,4,4,4,4,4,4,4
10,10,10,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,3,10,10,10,10,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,11,11,14,14,11,10,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,10,10,10,12,12,12,12,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,14,14,14,14,14,14,14,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
10,10,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,11,14,14,14,11,6,6,6,6,6,12,12,3,3,3,8,8,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,6,6,6,6,10,10,10,10,10,10,15
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,6,12,12,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,11,10,10,10,6,6,6,6,6,6,6,10,10,10,10,15,5
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
15,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,11,14,14,14,11,11,11,10,10,6,6,6,6,6,6,6,6,6,6,6,12,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,6,6,12,12,12,2,2,2
9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,11,11,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,1,1,1,1,6,6,6,6,6,6,6,6,6,12,0,0,0,0,0,1,1,1,1,10,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,10,10,10,12,3,3,3,11,14,14,14,14,10,10,4,4,4,4,4,4,4,4,4,4
15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,6,6,6,6,6,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,10,10,4,4,4,4,4,4,4,4,4,4
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,14,14,14,14,11,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,6,6,6,6,6,10,10,10,10,15,5
